q1;p1;q3;p3
0.425;0;-1.5;0
0.425;0;-1.6;0
0.425;0;-2.0;0.4
0.425;0;-2.0;0.5
0.425;0;-2.0;0.6
0.425;0;-2.0;0.7
0.425;0;0;0
0.425;0;0.05;0.01
0.425;0;0.06;0.01
0.425;0;0.001;0.001
0.425;0;-0.001;0.001
0.425;0;0.001;-0.001
0.425;0;-0.001;-0.001
0.425;0;1;-0.8
0.425;0;1;-0.9
0.425;0;1;-1
0.425;0;-1;-0.1
0.425;0;-1;-0.2
0.425;0;0.1;0.0
0.425;0;0.11;0.0
0.425;0;0.12;0.0
0.425;0;0.14;0.0
0.425;0;0.15;0.0
0.425;0;0.17;0.0
0.425;0;-1;-0.7
0.425;0;-1;-0.8
0.425;0;-1;-0.9
0.425;0;-1;-11;0.1
0.425;0;-1;0.2
0.425;0;-1;0.3
0.425;0;0.09;0.01
0.425;0;-0.01;0.01
0.425;0;-1;0.6
0.425;0;0.18;0.0
0.425;0;0.2;0.0
0.425;0;0.3;0.0
0.425;0;0.4;0.0
0.425;0;0.5;0.0
0.425;0;0.6;0.0
0.425;0;0.7;0.0
0.425;0;0.8;0.0
0.425;0;0.9;0.0
0.425;0;0.5;0.1
0.425;0;0.5;0.2
0.425;0;0.5;0.3
0.425;0;0.5;0.4
0.425;0;0.5;0.5
0.425;0;0.5;0.6
0.425;0;0.5;0.7
0.425;0;0.5;0.8
0.425;0;0.5;0.9
0.425;0;-0.2;0.0
0.425;0;-0.3;0.0
0.425;0;-0.5;0.0
0.425;0;-0.7;0.0
0.425;0;-10;0.1
0.425;0;-10;0.3
0.425;0;-10;0.5
0.425;0;-10;0.7
0.425;0;-10;0.9
0.425;0;10;0.02
0.425;0;10;0.04
0.425;0;10;0.06
0.425;0;10;0.08
0.425;0;-10;-0.1
0.425;0;-10;-0.3
0.425;0;-10;-0.5
0.425;0;-10;-0.7
0.425;0;-10;-0.9
0.425;0;10;-0.02
0.425;0;1;-0.3
0.425;0;-1.7;0
0.425;0;-1.8;0
0.425;0;-1.9;0
0.425;0;-2.0;0
0.425;0;-2.1;0
0.425;0;-2.2;0
0.425;0;-2.0;0.3
0.425;0;1;-0.4
0.425;0;1;-0.5
0.425;0;10;-0.04
0.425;0;10;-0.06
0.425;0;10;-0.08
0.425;0;1;0.0
0.425;0;1;0.1
0.425;0;1;0.2
0.425;0;1;0.3
0.425;0;1;0.4
0.425;0;1;0.5
0.425;0;1;-0.2
0.425;0;-2.3;0
0.425;0;-2.4;0
0.425;0;-2.5;0
0.425;0;-2.0;0.1
0.425;0;-2.0;0.2
0.425;0;1;-0.6
0.425;0;1;-0.7
0.425;0;-1;-0.4
0.425;0;-1;-0.5
0.425;0;-1;-0.6
0.425;0;-1;0.7
0.425;0;-1;0.8
0.425;0;-1;0.9
0.425;0;-1;1
0.425;0;1;0.6
0.425;0;1;0.7
0.425;0;1;0.8
0.425;0;1;0.9
0.425;0;0.01;-0.01
0.425;0;-0.01;-0.01
0.425;0;-1;0.4
0.425;0;-1;0.5
0.425;0;1;1
0.425;0;1;-0.1
